x0,y0,ODIL_loss
0.05,0.05,0.0002760364078392899
0.05,0.1,0.0002809202071522004
0.05,0.15,0.0002875061652918859
0.05,0.2,0.0002927662494832097
0.05,0.25,0.0002967844149592379
0.05,0.3,0.00030486870942821254
0.05,0.35,0.00030306932918810293
0.05,0.4,0.00029440292467671
0.05,0.45,0.0002802446420364421
0.05,0.5,0.00028754991842765577
0.05,0.55,0.0003022056142297996
0.05,0.6,0.0003128862323871146
0.05,0.65,0.00032077185007802736
0.05,0.7,0.0002957675094802966
0.05,0.75,0.0002776203921527947
0.05,0.8,0.00027143704363483134
0.05,0.85,0.00026664769192835203
0.05,0.9,0.0002610688006892197
0.05,0.95,0.00026448631526178817
0.1,0.05,0.0002854580633276995
0.1,0.1,0.0002921200453153334
0.1,0.15,0.00029032420044431827
0.1,0.2,0.0003075824031558123
0.1,0.25,0.0003127251990344911
0.1,0.3,0.0003048203637009187
0.1,0.35,0.0003026727030964279
0.1,0.4,0.0002915406810998393
0.1,0.45,0.00027885890890740376
0.1,0.5,0.00027427247952629654
0.1,0.55,0.0002887369605616907
0.1,0.6,0.0003348554373666332
0.1,0.65,0.00046993501561291476
0.1,0.7,0.0004385320097219369
0.1,0.75,0.0003926370117783997
0.1,0.8,0.0002697269349926443
0.1,0.85,0.0002662533386041152
0.1,0.9,0.00025981377915477424
0.1,0.95,0.0002579848725408386
0.15,0.05,0.0002898353014738698
0.15,0.1,0.0002932770232363584
0.15,0.15,0.0002996039545475268
0.15,0.2,0.00044129683473078394
0.15,0.25,0.0004101864070049664
0.15,0.3,0.0003056446688087579
0.15,0.35,0.00030392764256903005
0.15,0.4,0.00028447346403378984
0.15,0.45,0.0002750934605095266
0.15,0.5,0.0002706460332745802
0.15,0.55,0.00029148413082886803
0.15,0.6,0.0004826395187747981
0.15,0.65,0.00040344224312113895
0.15,0.7,0.00035119412752848277
0.15,0.75,0.0004149265464539306
0.15,0.8,0.00028954642607614676
0.15,0.85,0.0002664152457190303
0.15,0.9,0.0002722984206319996
0.15,0.95,0.0002677317555388282
0.2,0.05,0.0003273398420785462
0.2,0.1,0.00032558984778874447
0.2,0.15,0.0003390300464650495
0.2,0.2,0.0004536269570001511
0.2,0.25,0.0004271312758738843
0.2,0.3,0.00030077873641660004
0.2,0.35,0.0003020983842104974
0.2,0.4,0.0002714272881532202
0.2,0.45,0.00026925245467834157
0.2,0.5,0.0002715804709198909
0.2,0.55,0.0002786768793819728
0.2,0.6,0.00042735681714096675
0.2,0.65,0.0003495547627774524
0.2,0.7,0.00034186118731250817
0.2,0.75,0.0003054705614656868
0.2,0.8,0.00031476349841224363
0.2,0.85,0.0003008757193467887
0.2,0.9,0.00028390440210445517
0.2,0.95,0.00029555458142722013
0.25,0.05,0.0003888524169208497
0.25,0.1,0.00039533902212955283
0.25,0.15,0.00033704246701120674
0.25,0.2,0.0003096464712507936
0.25,0.25,0.0002956757717927826
0.25,0.3,0.00023255896210469022
0.25,0.35,0.0002357465247912706
0.25,0.4,0.000247265918761569
0.25,0.45,0.000258055555836477
0.25,0.5,0.00026530314520563136
0.25,0.55,0.00027724577087791615
0.25,0.6,0.0003419777445037779
0.25,0.65,0.00033831240351880345
0.25,0.7,0.00033599032596079523
0.25,0.75,0.00028375086788768727
0.25,0.8,0.0003222364806309417
0.25,0.85,0.0003227651279588498
0.25,0.9,0.00031289977136665246
0.25,0.95,0.0003067803424557517
0.3,0.05,0.00041572790087756337
0.3,0.1,0.00038262862043850286
0.3,0.15,0.000238644068620947
0.3,0.2,0.0001812009268810331
0.3,0.25,0.0001882260479935489
0.3,0.3,0.0001933966712428005
0.3,0.35,0.0002041856380776545
0.3,0.4,0.0002293399929056315
0.3,0.45,0.0002486762750126756
0.3,0.5,0.0002574380027654512
0.3,0.55,0.0002773028149980278
0.3,0.6,0.0003385723632598875
0.3,0.65,0.00034760118384361325
0.3,0.7,0.000340844548670802
0.3,0.75,0.0002871655348402649
0.3,0.8,0.00032449452911512047
0.3,0.85,0.000325166966425025
0.3,0.9,0.0003195977589721858
0.3,0.95,0.0003183712288185078
0.35,0.05,0.0004389961088870685
0.35,0.1,0.00024393736654925718
0.35,0.15,0.00016886448163753198
0.35,0.2,0.0001675747969627779
0.35,0.25,0.0001694349527438918
0.35,0.3,0.0001830902550455778
0.35,0.35,0.0001987355645169603
0.35,0.4,0.0002187147394649632
0.35,0.45,0.0002365799616406801
0.35,0.5,0.0002506759207119527
0.35,0.55,0.0002838790489531431
0.35,0.6,0.0003599131826527219
0.35,0.65,0.00035758359405393676
0.35,0.7,0.0003367135212428467
0.35,0.75,0.0003549670632415385
0.35,0.8,0.00034981372616583686
0.35,0.85,0.0003115845158071463
0.35,0.9,0.0002889503107883049
0.35,0.95,0.00030501245907460387
0.4,0.05,0.0002777132349556909
0.4,0.1,0.00016846685113623523
0.4,0.15,0.00015578224656371943
