x0,ODIL_loss
0.05,0.00030491420550850533
0.075,0.0003054443284689354
0.1,0.0003042322584755679
0.1,0.0003042322584755679
0.125,0.0003053527569669784
0.15,0.0003069135586709022
0.175,0.0003078050283693623
0.2,0.0003038393128353467
0.225,0.00027858254391724304
0.25,0.0002291271630425638
0.275,0.00020512558256192132
0.3,0.0001995856090703913
0.325,0.0001981299573612892
0.35,0.0001930279165919964
0.375,0.0001870885773195054
0.4,0.0001804601523223206
0.425,0.0001724919135481727
0.45,0.0001626088571566028
0.475,0.0001476352944483096
0.5,0.00011638173577738659
0.525,8.222453201175689e-05
0.55,6.477995313275306e-05
0.575,5.722504673167111e-05
0.6,5.189698251274361e-05
0.625,4.573891106472614e-05
0.65,3.967494924616054e-05
0.675,4.184110985825616e-05
0.7,6.218520645379975e-05
0.725,9.700539940391592e-05
0.75,0.00014107048158883828
0.775,0.00019069742373964868
0.8,0.00023922259337018332
0.825,0.0002771714142059974
0.85,0.00030208415247612053
0.875,0.0003180309234313753
0.9,0.00033266351148137296
0.925,0.00034158490212810467
0.95,0.0003354524079518861
