t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy
14.4903,0.201663,0.290171,0.0445382,0.841026,0.51648,0.0322527,-0,0,0,-0,-0.3,-1
14.6906,0.185496,0.31626,0.0435121,0.843331,0.484812,0.0252866,-0,0,0,-0,-0.3,-1
14.9516,0.166545,0.353192,0.0479742,0.832799,0.442851,0.0444076,-0,0,0,-0,-0.3,-1
15.1485,0.155523,0.380612,0.0353015,0.837434,0.415865,0.0199014,-0,0,0,-0,-0.3,-1
15.4824,0.148541,0.432083,0.0718603,0.827872,0.366053,0.000147967,-0,0,0,-0,-0.3,-1
15.6449,0.141113,0.467887,0.043535,0.80835,0.338813,0.0352103,-0,0,0,-0,-0.3,-1
15.9432,0.140583,0.509211,0.0445612,0.788486,0.302057,0.0207988,-0,0,0,-0,-0.3,-1
16.1402,0.143339,0.538278,0.0513272,0.768537,0.277489,0.0191032,-0,0,0,-0,-0.3,-1
16.439,0.154285,0.588356,0.0604509,0.740505,0.238731,-0.000621999,-0,0,0,-0,-0.3,-1
16.6366,0.167075,0.615621,0.0608979,0.715531,0.220779,0.0115588,-0,0,0,-0,-0.3,-1
16.967,0.190226,0.65819,0.0860686,0.676262,0.189499,-0.0235364,-0,0,0,-0,-0.3,-1
17.1976,0.203323,0.692569,0.0600739,0.64638,0.177502,0.0133488,-0,0,0,-0,-0.3,-1
17.4916,0.229223,0.735546,0.0264677,0.598328,0.161608,0.0242881,-0,0,0,-0,-0.3,-1
17.6899,0.250865,0.755747,0.0367107,0.573197,0.155359,0.00947044,-0,0,0,-0,-0.3,-1
17.9863,0.288472,0.779581,0.0610094,0.527445,0.148344,0.0215841,-0,0,0,-0,-0.3,-1
18.1873,0.311712,0.801897,0.0466385,0.496808,0.150149,0.0176815,-0,0,0,-0,-0.3,-1
18.4835,0.352111,0.824971,0.0390321,0.447945,0.152443,0.0192348,-0,0,0,-0,-0.3,-1
18.6825,0.378258,0.840303,0.0289885,0.419651,0.157252,0.0144711,-0,0,0,-0,-0.3,-1
18.98,0.428039,0.847414,0.0485324,0.376167,0.1691,0.0226557,-0,0,0,-0,-0.3,-1
19.1781,0.457581,0.854109,0.0417234,0.344977,0.18045,0.0268149,-0,0,0,-0,-0.3,-1
19.4758,0.50699,0.857321,0.0344624,0.302805,0.205369,0.0270297,-0,0,0,-0,-0.3,-1
19.637,0.535986,0.858678,0.0176033,0.283027,0.220863,0.0358865,-0,0,0,-0,-0.3,-1
19.9368,0.577996,0.845887,0.0362922,0.250866,0.250911,0.0405394,-0,0,0,-0,-0.3,-1
20.1349,0.61384,0.837277,0.0424892,0.226481,0.279715,0.0303965,-0,0,0,-0,-0.3,-1
20.4319,0.655754,0.818391,0.0491811,0.203234,0.31106,0.0410689,-0,0,0,-0,-0.3,-1
20.6625,0.6878,0.80342,0.0408137,0.188406,0.340076,0.0504998,-0,0,0,-0,-0.3,-1
20.9237,0.727535,0.776798,0.0321506,0.167063,0.380753,0.0314194,-0,0,0,-0,-0.3,-1
21.1257,0.749252,0.757639,0.0370655,0.161717,0.4104,0.049102,-0,0,0,-0,-0.3,-1
21.422,0.779269,0.717064,0.0493633,0.154471,0.458098,0.0366587,-0,0,0,-0,-0.3,-1
21.6197,0.801462,0.692551,0.0410426,0.15392,0.489941,0.0417657,-0,0,0,-0,-0.3,-1
21.9167,0.829253,0.649276,0.0271702,0.156225,0.53246,0.0532647,-0,0,0,-0,-0.3,-1
22.0791,0.836887,0.623777,0.0334874,0.155025,0.560083,0.0319356,-0,0,0,-0,-0.3,-1
22.3794,0.852779,0.581398,0.0253772,0.174123,0.602123,0.0552549,-0,0,0,-0,-0.3,-1
22.5745,0.853854,0.548183,0.0361435,0.184139,0.631866,0.0559487,-0,0,0,-0,-0.3,-1
22.8736,0.857896,0.501734,0.0348608,0.202063,0.670274,0.037004,-0,0,0,-0,-0.3,-1
23.0726,0.857727,0.468522,0.036289,0.217284,0.696512,0.0418279,-0,0,0,-0,-0.3,-1
23.3694,0.849676,0.418342,0.0437789,0.245726,0.734255,0.0389741,-0,0,0,-0,-0.3,-1
23.5674,0.843652,0.388305,0.0370819,0.27069,0.754779,0.0408124,-0,0,0,-0,-0.3,-1
23.8635,0.82777,0.345986,0.0288784,0.302874,0.780642,0.0550044,-0,0,0,-0,-0.3,-1
24.0629,0.811568,0.315658,0.0341885,0.326748,0.797491,0.0414131,-0,0,0,-0,-0.3,-1
24.36,0.790543,0.274498,0.0204609,0.373586,0.815527,0.0364334,-0,0,0,-0,-0.3,-1
24.6217,0.762858,0.240913,0.0199009,0.405216,0.830857,0.0282965,-0,0,0,-0,-0.3,-1
24.9199,0.72647,0.212298,0.0323756,0.452013,0.839439,0.0378238,-0,0,0,-0,-0.3,-1
25.1163,0.703552,0.189598,0.0160602,0.484479,0.843453,0.0315677,-0,0,0,-0,-0.3,-1
25.4122,0.661132,0.16537,0.0141117,0.528718,0.842213,0.0311941,-0,0,0,-0,-0.3,-1
25.6129,0.628365,0.152001,0.021756,0.562221,0.836399,0.0360144,-0,0,0,-0,-0.3,-1
25.9101,0.581897,0.134675,0.00364719,0.610547,0.825829,0.0268014,-0,0,0,-0,-0.3,-1
26.1091,0.549894,0.131251,0.0118613,0.637809,0.815707,0.0382036,-0,0,0,-0,-0.3,-1
26.4051,0.49853,0.12859,0.0369026,0.680728,0.79564,0.0339345,-0,0,0,-0,-0.3,-1
26.6029,0.468417,0.126418,0.0252381,0.705717,0.777763,0.0197255,-0,0,0,-0,-0.3,-1
26.9755,0.411869,0.136152,0.0167351,0.747261,0.740886,0.040666,-0,0,0,-0,-0.3,-1
27.1645,0.375026,0.146573,0.0463713,0.766663,0.714356,0.0530474,-0,0,0,-0,-0.3,-1
27.4936,0.333374,0.163118,0.0311179,0.799493,0.675736,0.0217383,-0,0,0,-0,-0.3,-1
27.6589,0.3046,0.181404,0.0408756,0.80953,0.648351,0.0396671,-0,0,0,-0,-0.3,-1
27.9532,0.271442,0.203642,0.0399917,0.828994,0.607755,0.0338905,-0,0,0,-0,-0.3,-1
28.1535,0.246024,0.224141,0.0365136,0.834656,0.579371,0.038249,-0,0,0,-0,-0.3,-1
28.4495,0.213351,0.26357,0.033724,0.846667,0.531001,0.0390895,-0,0,0,-0,-0.3,-1
28.6485,0.19341,0.283746,0.039703,0.850764,0.502094,0.0213203,-0,0,0,-0,-0.3,-1
28.9466,0.169609,0.325108,0.0323604,0.846427,0.457176,0.0199096,-0,0,0,-0,-0.3,-1
29.144,0.156203,0.353029,0.0411696,0.839637,0.426976,0.0431717,-0,0,0,-0,-0.3,-1
29.5072,0.142212,0.403668,0.0489418,0.837833,0.376452,-0.00708663,-0,0,0,-0,-0.3,-1
29.705,0.13222,0.439072,0.0399729,0.814365,0.34715,0.0269022,-0,0,0,-0,-0.3,-1
30.0022,0.127999,0.486808,0.0471894,0.792573,0.301604,0.0111014,-0,0,0,-0,-0.3,-1
30.1999,0.130552,0.515925,0.0528895,0.77395,0.278114,0.0194127,-0,0,0,-0,-0.3,-1
30.4966,0.132754,0.566534,0.0408917,0.739542,0.239681,0.019733,-0,0,0,-0,-0.3,-1
30.7284,0.14611,0.59991,0.0567812,0.712941,0.217773,0.0119736,-0,0,0,-0,-0.3,-1
31.0216,0.157691,0.648808,0.0497219,0.676547,0.188318,0.00816062,-0,0,0,-0,-0.3,-1
31.2223,0.173536,0.67837,0.0329355,0.644286,0.177409,0.0239282,-0,0,0,-0,-0.3,-1
31.5199,0.199633,0.71613,0.054389,0.605255,0.159111,0.00263278,-0,0,0,-0,-0.3,-1
31.7514,0.219516,0.743271,0.0425571,0.572003,0.151331,0.010939,-0,0,0,-0,-0.3,-1
32.0475,0.252877,0.776831,0.0438652,0.52885,0.147185,0.0217849,-0,0,0,-0,-0.3,-1
32.2466,0.275566,0.796624,0.0375701,0.493091,0.144539,0.0101367,-0,0,0,-0,-0.3,-1
32.5427,0.319559,0.827316,0.0288289,0.449779,0.150111,0.0306297,-0,0,0,-0,-0.3,-1
32.742,0.345974,0.835628,0.0374263,0.424633,0.152472,0.0262684,-0,0,0,-0,-0.3,-1
33.0383,0.396179,0.851399,0.0463476,0.378976,0.166796,0.0226339,-0,0,0,-0,-0.3,-1
33.2358,0.428176,0.860986,0.0401587,0.346587,0.179175,0.027256,-0,0,0,-0,-0.3,-1
33.5328,0.475909,0.866611,0.0419494,0.310449,0.199213,0.0283293,-0,0,0,-0,-0.3,-1
33.7308,0.507245,0.871636,0.037724,0.284046,0.215966,0.0273949,-0,0,0,-0,-0.3,-1
34.0283,0.553875,0.867418,0.0395996,0.247099,0.249884,0.030944,-0,0,0,-0,-0.3,-1
34.19,0.584666,0.863002,0.0341292,0.226485,0.271117,0.0243252,-0,0,0,-0,-0.3,-1
34.4875,0.62928,0.85066,0.0344352,0.202297,0.307861,0.0320081,-0,0,0,-0,-0.3,-1
34.6878,0.652913,0.839048,0.0442209,0.189694,0.331219,0.0339731,-0,0,0,-0,-0.3,-1
34.9864,0.697438,0.817631,0.0413532,0.168161,0.37506,0.035039,-0,0,0,-0,-0.3,-1
35.1825,0.725813,0.801372,0.0188208,0.159199,0.408708,0.0401268,-0,0,0,-0,-0.3,-1
35.4804,0.763065,0.768031,0.0275819,0.149678,0.453561,0.0292798,-0,0,0,-0,-0.3,-1
35.6781,0.782337,0.741564,0.0503768,0.151101,0.48246,0.0459325,-0,0,0,-0,-0.3,-1
35.9724,0.816981,0.70622,0.0216636,0.152029,0.532696,0.0431985,-0,0,0,-0,-0.3,-1
36.1736,0.831638,0.674862,0.0392408,0.157375,0.564341,0.0506426,-0,0,0,-0,-0.3,-1
