t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1
13.6549,0.279082,0.601606,0.368595,0.382442,0.71965,0.57192,0.978284,0.999812,-0.99932,0.353058,-0.995243,3,1,0
13.8832,0.280418,0.620297,0.373291,0.381322,0.715141,0.565275,0.986035,0.999835,-0.999214,0.290042,-0.989888,3,1,0
14.0879,0.288173,0.634031,0.378327,0.385257,0.714161,0.559924,0.991335,0.999853,-0.99897,0.250885,-0.974823,3,1,0
14.3184,0.29304,0.649907,0.368315,0.389097,0.712761,0.566831,0.997247,0.99989,-0.997374,0.149321,-0.766874,3,1,0
14.6121,0.302058,0.669074,0.366562,0.393668,0.708952,0.567736,0.998741,0.999909,-0.995248,-0.0279669,-0.10309,3,1,0
14.91,0.308394,0.681295,0.381125,0.395046,0.708474,0.555579,0.998935,0.999901,-0.995122,-0.0121738,0.22231,3,1,0
15.2069,0.307869,0.692884,0.372292,0.396265,0.707607,0.555678,0.999228,0.99993,-0.993714,-0.288071,0.676287,3,1,0
15.5034,0.306495,0.701021,0.363317,0.397661,0.702325,0.555996,0.999286,0.999937,-0.9935,-0.445617,0.814848,3,1,0
15.7064,0.30202,0.699694,0.378351,0.395062,0.698074,0.561711,0.999343,0.999921,-0.991942,0.0141737,0.800381,3,1,0
16.0027,0.291915,0.701286,0.38413,0.395062,0.698074,0.561711,0.999292,0.999896,-0.991971,0.291839,0.754063,3,1,0
16.295,0.283534,0.706046,0.375039,0.395215,0.692566,0.555186,0.999359,0.999912,-0.992196,0.130912,0.851988,3,1,0
16.5247,0.282266,0.707269,0.374366,0.396899,0.688748,0.561846,0.999417,0.999909,-0.990744,0.278135,0.873606,3,1,0
16.755,0.279508,0.707178,0.381537,0.395247,0.686831,0.548891,0.999347,0.999895,-0.992619,0.255197,0.859537,3,1,0
17.05,0.274952,0.708931,0.373012,0.392362,0.681078,0.548503,0.999331,0.999905,-0.992785,0.0748614,0.880596,3,1,0
17.3538,0.272223,0.708832,0.380203,0.390084,0.677182,0.541889,0.99928,0.999888,-0.993491,0.1321,0.871749,3,1,0
17.6531,0.263627,0.711388,0.378882,0.389301,0.673951,0.541578,0.999319,0.999874,-0.993091,0.272143,0.90004,3,1,0
17.9452,0.261692,0.712518,0.393855,0.384727,0.66735,0.547336,0.999318,0.999842,-0.992139,0.620674,0.871143,3,1,0
18.2428,0.259233,0.716868,0.385484,0.385546,0.664694,0.54157,0.9994,0.999852,-0.991894,0.478641,0.937953,3,1,0
18.5401,0.26127,0.717202,0.393267,0.383976,0.658206,0.541093,0.999404,0.99984,-0.99156,0.564985,0.937004,3,1,0
18.7677,0.26127,0.717202,0.393267,0.379911,0.657957,0.52766,0.999263,0.999823,-0.994445,0.298006,0.943855,3,1,0
18.9705,0.260104,0.720682,0.38484,0.376456,0.65498,0.520693,0.999164,0.999835,-0.996392,-0.173556,0.969703,3,1,0
19.2047,0.258296,0.723993,0.392053,0.378812,0.653028,0.521161,0.999275,0.99981,-0.995346,0.186508,0.981384,3,1,0
19.4961,0.253116,0.725938,0.398435,0.374791,0.64819,0.520812,0.999314,0.999771,-0.994749,0.380205,0.984789,3,1,0
19.7933,0.246721,0.729086,0.404109,0.371311,0.645155,0.513892,0.999266,0.999716,-0.995118,0.412439,0.99199,3,1,0
20.0909,0.245437,0.729962,0.404135,0.369909,0.639834,0.520884,0.999337,0.999699,-0.99389,0.536834,0.989219,3,1,0
20.3877,0.24495,0.730054,0.418671,0.368166,0.637681,0.507344,0.999113,0.999602,-0.995066,0.534684,0.992785,3,1,0
20.6833,0.247055,0.73259,0.418737,0.370005,0.633927,0.514532,0.999262,0.999605,-0.993643,0.622488,0.993536,3,1,0
20.9835,0.247055,0.73259,0.418737,0.366697,0.630833,0.494497,0.998657,0.999546,-0.995361,0.0642955,0.997834,3,1,0
21.2143,0.247875,0.734059,0.425629,0.367869,0.629732,0.495022,0.998578,0.99944,-0.994327,0.228397,0.998154,3,1,0
21.4774,0.244095,0.736996,0.425016,0.365317,0.625489,0.501808,0.998892,0.999429,-0.993812,0.408785,0.998389,3,1,0
21.7413,0.243658,0.739304,0.431886,0.360266,0.621604,0.488055,0.9977,0.998935,-0.993739,0.0247586,0.998927,3,1,0
22.0346,0.239929,0.742575,0.430618,0.358235,0.619119,0.488078,0.997719,0.998658,-0.993187,-0.010421,0.999245,3,1,0
22.3338,0.239091,0.744828,0.451512,0.355889,0.61501,0.481168,0.993855,0.998397,-0.995787,0.107126,0.99664,3,1,0
22.6369,0.234978,0.745413,0.471853,0.352625,0.613398,0.481266,0.97141,0.997034,-0.997721,0.0891751,0.991812,3,1,0
22.9257,0.234599,0.745384,0.485408,0.350592,0.610898,0.481356,0.921683,0.99206,-0.997249,-0.180013,0.995576,3,1,0
23.1252,0.233378,0.743978,0.492381,0.348103,0.606671,0.488484,0.87237,0.987263,-0.996627,-0.0347003,0.996513,3,1,0
23.425,0.230617,0.745939,0.505062,0.344505,0.603393,0.481745,0.779257,0.97976,-0.994555,-0.700494,0.997099,3,1,0
23.6507,0.22825,0.745702,0.511306,0.342915,0.602603,0.474817,0.72442,0.973581,-0.993955,-0.915314,0.994812,3,1,0
23.9198,0.224443,0.746578,0.529897,0.338854,0.597574,0.475193,0.514924,0.930933,-0.990895,-0.980393,0.993938,3,1,0
24.1868,0.223917,0.744343,0.561726,0.335615,0.595939,0.461226,0.151055,0.676557,-0.991468,-0.998167,0.996741,3,1,0
24.4801,0.224437,0.74531,0.580401,0.33195,0.592594,0.468755,-0.0465394,0.395147,-0.986213,-0.998616,0.998995,3,1,0
24.7738,0.229888,0.738657,0.599749,0.331171,0.582993,0.47697,-0.171138,0.340725,-0.97423,-0.998037,0.999629,3,1,0
25.0716,0.236248,0.732796,0.613462,0.330376,0.572835,0.47234,-0.186661,-0.137536,-0.966276,-0.997643,0.999812,3,1,0
25.3708,0.246338,0.731894,0.626618,0.328362,0.563962,0.466596,-0.125434,-0.882415,-0.947614,-0.995139,0.99996,3,1,0
25.7064,0.254473,0.729056,0.639105,0.326367,0.554797,0.461596,-0.0120558,-0.965438,-0.926921,-0.990387,0.999979,3,1,0
25.9698,0.264029,0.724789,0.640974,0.326405,0.548123,0.456248,-0.00469579,-0.927205,-0.92587,-0.986574,0.999983,3,1,0
26.1949,0.270991,0.724738,0.647479,0.325197,0.542531,0.450264,0.209967,-0.939437,-0.92933,-0.957914,0.999989,3,1,0
26.4232,0.27725,0.723355,0.648492,0.325646,0.537957,0.451279,0.325847,-0.93137,-0.927094,-0.896844,0.999992,3,1,0
26.7236,0.287466,0.720721,0.655519,0.326096,0.533386,0.452312,0.474362,-0.931624,-0.917086,-0.746038,0.99999,3,1,0
27.0217,0.300172,0.717133,0.668966,0.324148,0.530602,0.453801,0.504892,-0.941116,-0.822602,-0.559672,0.999983,3,1,0
27.3196,0.310381,0.710325,0.676363,0.323691,0.528627,0.446589,0.305899,-0.59102,-0.605728,-0.62582,0.999973,3,1,0
27.6202,0.318673,0.707197,0.677783,0.32249,0.522937,0.440673,0.142011,-0.015715,-0.412111,-0.708243,0.99997,3,1,0
27.9115,0.325432,0.703715,0.673467,0.323312,0.519785,0.43413,-0.112844,0.670366,-0.466048,-0.880545,0.999974,3,1,0
28.2099,0.33672,0.70201,0.675194,0.32211,0.514027,0.428181,-0.340567,0.677447,-0.405355,-0.945215,0.99997,3,1,0
28.4362,0.346137,0.698098,0.676708,0.322064,0.507533,0.421283,-0.641773,0.684621,-0.481655,-0.98444,0.999942,3,1,0
28.8041,0.360854,0.699581,0.673535,0.323191,0.491072,0.419275,-0.774779,0.509668,-0.295921,-0.985639,0.999919,3,1,0
29.0718,0.37012,0.700064,0.664075,0.322856,0.481834,0.406707,-0.914549,0.542462,-0.6754,-0.996563,0.999817,3,1,0
29.3646,0.384705,0.700123,0.655524,0.324003,0.465417,0.404312,-0.957118,0.36096,-0.678474,-0.995503,0.999798,3,1,0
