t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1
57.5726,0.356267,0.671412,0.574143,0.282047,0.541475,0.406584,0.943459,0.999684,-0.999649,0.169313,-0.998368,3,0,1
57.846,0.359649,0.668466,0.575004,0.281434,0.560993,0.393596,0.954815,0.99976,-0.999481,0.322411,-0.998271,3,0,1
58.1407,0.363934,0.663323,0.569522,0.284459,0.580819,0.403804,0.960326,0.999773,-0.999335,0.469244,-0.997544,3,0,1
58.4994,0.369953,0.660074,0.576801,0.291331,0.605414,0.399201,0.979108,0.999828,-0.999007,0.540095,-0.991496,3,0,1
58.8031,0.372516,0.658593,0.564671,0.297579,0.624906,0.417237,0.982646,0.999816,-0.998453,0.659743,-0.975172,3,0,1
59.0913,0.38017,0.6561,0.566133,0.307299,0.649776,0.391674,0.997347,0.999883,-0.996479,0.330937,-0.641219,3,0,1
59.3904,0.380208,0.654867,0.547226,0.328406,0.669669,0.369705,0.999118,0.999934,-0.996141,-0.7072,0.267919,3,0,1
59.6878,0.383933,0.65352,0.554237,0.330675,0.678729,0.376684,0.999241,0.999942,-0.993836,-0.55579,0.640369,3,0,1
59.9151,0.383933,0.65352,0.554237,0.325853,0.684836,0.368286,0.999262,0.999943,-0.99428,-0.676935,0.712006,3,0,1
60.119,0.381955,0.651147,0.554032,0.323073,0.6844,0.390431,0.999257,0.999931,-0.993063,-0.246144,0.680375,3,0,1
60.3472,0.383979,0.647582,0.548369,0.311649,0.686948,0.396179,0.999195,0.999913,-0.993752,-0.0449827,0.621638,3,0,1
60.5429,0.384595,0.644947,0.554731,0.306969,0.686474,0.395486,0.999176,0.999901,-0.993045,0.136823,0.585426,3,0,1
60.8406,0.383531,0.640032,0.548479,0.303129,0.689482,0.394932,0.999209,0.999909,-0.993503,0.0217921,0.654271,3,0,1
61.1432,0.382464,0.635078,0.542224,0.300313,0.689459,0.401949,0.999114,0.999891,-0.994496,0.119704,0.575571,3,0,1
61.4371,0.382805,0.630752,0.542555,0.296493,0.692447,0.40144,0.999184,0.99989,-0.993964,0.175172,0.674631,3,0,1
61.7348,0.382318,0.627475,0.529784,0.291646,0.698797,0.392588,0.999052,0.999893,-0.995389,-0.479181,0.769098,3,0,1
62.166,0.379467,0.62156,0.530081,0.288654,0.696589,0.407196,0.99902,0.999863,-0.995354,0.0624278,0.669887,3,0,1
62.4267,0.378898,0.619844,0.536635,0.277512,0.699346,0.412198,0.999027,0.999814,-0.99456,0.615961,0.655567,3,0,1
62.6879,0.377827,0.614769,0.53046,0.275698,0.703019,0.418548,0.999027,0.999766,-0.995005,0.676976,0.71989,3,0,1
62.9873,0.378748,0.612093,0.52428,0.278861,0.702222,0.426649,0.998784,0.999708,-0.996053,0.705132,0.620782,3,0,1
63.2838,0.379679,0.609397,0.518061,0.281791,0.708163,0.426852,0.999137,0.999749,-0.995116,0.594953,0.912562,3,0,1
63.5814,0.380617,0.606682,0.511802,0.282618,0.708203,0.411768,0.999069,0.999856,-0.996073,-0.114866,0.950126,3,0,1
63.8843,0.380131,0.603163,0.498701,0.283254,0.709456,0.419365,0.998908,0.999842,-0.996486,-0.328916,0.97145,3,0,1
64.2099,0.378072,0.60048,0.499334,0.273446,0.710965,0.424903,0.998818,0.999809,-0.99594,0.0638581,0.965097,3,0,1
64.4728,0.371389,0.595802,0.492081,0.268839,0.710501,0.424234,0.998464,0.999771,-0.997459,-0.432764,0.948826,3,0,1
64.703,0.370554,0.592219,0.492733,0.261081,0.712008,0.437926,0.997272,0.999526,-0.997389,0.233604,0.837656,3,0,1
64.9681,0.369746,0.588847,0.492769,0.256681,0.712961,0.458666,0.976683,0.998387,-0.99813,0.446188,0.506943,3,0,1
65.2342,0.368265,0.588001,0.485923,0.252456,0.716379,0.47111,0.92297,0.995443,-0.99819,-0.016048,0.382861,3,0,1
65.5284,0.369844,0.582421,0.487091,0.255579,0.713735,0.485191,0.805214,0.986856,-0.99677,-0.325854,0.418358,3,0,1
65.825,0.365662,0.581772,0.472728,0.25065,0.715266,0.491698,0.78501,0.972629,-0.997115,-0.917061,0.643932,3,0,1
66.1207,0.365364,0.579779,0.466317,0.252017,0.713695,0.518543,0.516583,0.94408,-0.995108,-0.991022,0.970433,3,0,1
66.4201,0.365522,0.575639,0.480506,0.250282,0.712968,0.537464,0.262982,0.842601,-0.992651,-0.992036,0.985008,3,0,1
66.7171,0.362798,0.575629,0.473678,0.252057,0.709214,0.557107,0.0598783,0.769307,-0.990799,-0.997217,0.995502,3,0,1
67.0178,0.361682,0.570191,0.467436,0.254918,0.704437,0.57685,-0.0955916,0.802175,-0.984102,-0.998081,0.998534,3,0,1
67.2419,0.36005,0.563131,0.468439,0.263613,0.699147,0.584618,-0.184894,0.842693,-0.978305,-0.997578,0.999186,3,0,1
67.4722,0.358932,0.557629,0.462256,0.266929,0.694531,0.591328,-0.218607,0.850773,-0.979087,-0.99793,0.99933,3,0,1
67.8046,0.356269,0.551082,0.449032,0.273091,0.689283,0.604612,-0.281468,0.865217,-0.983524,-0.998683,0.999482,3,0,1
68.0699,0.356688,0.546506,0.449879,0.277595,0.685566,0.605539,-0.304112,0.864837,-0.982967,-0.998669,0.999484,3,0,1
68.3668,0.351951,0.537259,0.437,0.281172,0.684809,0.599868,-0.243624,0.904006,-0.986601,-0.999209,0.999455,3,0,1
68.6675,0.350812,0.531566,0.430797,0.28735,0.681247,0.607396,-0.231694,0.908933,-0.986559,-0.999185,0.999432,3,0,1
68.9621,0.348879,0.522122,0.425724,0.290923,0.680184,0.602296,-0.0657769,0.920138,-0.987266,-0.999144,0.999257,3,0,1
69.2565,0.349423,0.510775,0.42047,0.289797,0.680629,0.603265,0.127373,0.915568,-0.988036,-0.99902,0.99903,3,0,1
69.4858,0.347052,0.505866,0.414458,0.293419,0.679538,0.598354,0.374355,0.92837,-0.989321,-0.998966,0.998621,3,0,1
69.753,0.345913,0.499993,0.408313,0.293745,0.67986,0.608311,0.365835,0.912604,-0.98922,-0.998967,0.998448,3,0,1
70.0157,0.347967,0.496572,0.416683,0.296556,0.679531,0.614328,-0.0511795,0.898798,-0.985127,-0.99896,0.998893,3,0,1
70.3173,0.345239,0.489407,0.403339,0.304627,0.672647,0.627625,-0.384573,0.910865,-0.984084,-0.999022,0.99824,3,0,1
70.6106,0.346946,0.483802,0.404398,0.314293,0.668669,0.628927,-0.621385,0.939048,-0.975717,-0.998946,0.998587,3,0,1
70.9082,0.346361,0.472966,0.400382,0.319615,0.668571,0.629142,-0.698734,0.946546,-0.97061,-0.998855,0.998526,3,0,1
71.2053,0.346955,0.461319,0.395435,0.330621,0.665104,0.625255,-0.819771,0.951968,-0.952238,-0.99857,0.998858,3,0,1
71.5017,0.345317,0.444269,0.385764,0.337415,0.66574,0.619955,-0.940527,0.958654,-0.928107,-0.997833,0.998971,3,0,1
71.7996,0.34803,0.429296,0.389744,0.341508,0.666455,0.608797,-0.976571,0.9601,-0.882056,-0.9964,0.998211,3,0,1
72.031,0.349656,0.41384,0.378294,0.345663,0.667169,0.597581,-0.988132,0.972428,-0.923361,-0.994003,0.992104,3,0,1
72.2953,0.350322,0.401926,0.373848,0.35057,0.665004,0.604207,-0.994576,0.972111,-0.941616,-0.991805,0.972596,3,0,1
72.5583,0.35062,0.38891,0.37879,0.353711,0.666753,0.59254,-0.994499,0.976883,-0.964288,-0.986572,0.927728,3,0,1
72.8554,0.352161,0.375015,0.383745,0.356432,0.666696,0.586874,-0.995253,0.972376,-0.984608,-0.968439,0.720581,3,0,1
73.1506,0.353707,0.361208,0.388861,0.361445,0.664755,0.581619,-0.996028,0.95161,-0.992224,-0.93442,0.216932,3,0,1
73.451,0.352711,0.349541,0.393698,0.365314,0.663631,0.576352,-0.996071,0.939292,-0.994095,-0.919829,-0.153817,3,0,1
73.7506,0.349671,0.340663,0.389727,0.366998,0.664619,0.570135,-0.996284,0.945564,-0.995289,-0.917154,-0.295828,3,0,1
74.1411,0.341983,0.333495,0.402779,0.372629,0.664474,0.55852,-0.996318,0.965184,-0.996132,-0.875328,-0.328223,3,0,1
74.3687,0.334839,0.327051,0.407514,0.373824,0.663626,0.558532,-0.996773,0.972653,-0.996801,-0.844979,-0.346632,3,0,1
74.6376,0.328363,0.324166,0.410168,0.377223,0.66539,0.546316,-0.997271,0.98119,-0.998148,-0.717217,-0.375247,3,0,1
74.9053,0.323279,0.320236,0.413625,0.382433,0.663384,0.540839,-0.997457,0.983649,-0.998999,-0.520944,-0.556662,3,0,1
75.306,0.318742,0.314292,0.433817,0.389678,0.66375,0.535605,-0.993472,0.990997,-0.999253,0.0569754,-0.885124,3,0,1
75.732,0.309104,0.311899,0.461258,0.391501,0.664734,0.529181,-0.964219,0.996031,-0.995754,0.765161,0.261695,3,0,1
76.1918,0.304281,0.310475,0.478901,0.399074,0.663928,0.504028,-0.822371,0.998155,-0.992432,0.600637,0.867055,3,0,1
76.5891,0.309075,0.310614,0.515745,0.404238,0.663437,0.470985,-0.702808,0.999714,-0.993114,-0.0855104,0.998663,3,0,1
76.8842,0.309645,0.306444,0.517874,0.398432,0.662627,0.462443,-0.728631,0.999736,-0.99429,-0.358312,0.998228,3,0,1
77.1424,0.313269,0.305849,0.5321,0.394829,0.659378,0.455303,-0.718004,0.999624,-0.993186,-0.679833,0.997859,3,0,1
77.4754,0.320557,0.303001,0.538717,0.385929,0.652411,0.44669,-0.632479,0.998867,-0.990995,-0.858511,0.99335,3,0,1
77.745,0.327098,0.303674,0.551471,0.375927,0.647824,0.445597,-0.207668,0.992195,-0.986089,-0.913359,0.941868,3,0,1
78.0424,0.334809,0.30408,0.555796,0.366854,0.640514,0.437884,0.403652,0.866284,-0.974673,-0.884271,0.513143,3,0,1
78.3307,0.342246,0.30389,0.568152,0.35441,0.638132,0.436099,0.659288,-0.186247,-0.898323,-0.62182,-0.179434,3,0,1
78.6294,0.350475,0.304648,0.5657,0.351399,0.638065,0.443457,0.486397,-0.251617,-0.375515,-0.454234,-0.535849,3,0,1
78.9259,0.354795,0.30288,0.551154,0.350185,0.639207,0.442876,0.486343,-0.272306,-0.414103,-0.451257,-0.540149,3,0,1
79.1547,0.362053,0.304525,0.548886,0.349755,0.643532,0.443088,0.401679,-0.0813046,-0.0495752,-0.516237,-0.498723,3,0,1
79.421,0.35996,0.30421,0.534944,0.351404,0.644419,0.449673,0.391859,0.355546,-0.244527,-0.392311,-0.652748,3,0,1
79.684,0.362748,0.304649,0.512525,0.355178,0.6477,0.443116,0.622865,-0.134196,-0.645719,-0.151423,-0.673933,3,0,1
79.9829,0.362264,0.308853,0.510643,0.357768,0.652146,0.43597,0.693795,0.0291302,-0.740913,-0.306097,-0.388687,3,0,1
80.3178,0.359883,0.310756,0.510266,0.361125,0.660076,0.442473,0.622551,0.646877,-0.675991,-0.363341,-0.133124,3,0,1
80.5765,0.357715,0.310472,0.495723,0.365688,0.660548,0.443172,0.568785,0.941691,-0.912339,-0.336408,-0.16345,3,0,1
80.8746,0.355802,0.312915,0.487476,0.363595,0.664281,0.449503,0.513884,0.94947,-0.93102,-0.0614748,-0.486254,3,0,1
81.1687,0.355802,0.312915,0.487476,0.367409,0.667617,0.443051,0.429395,0.978987,-0.961828,-0.32847,-0.061774,3,0,1
81.4678,0.354673,0.313823,0.487608,0.368314,0.67126,0.442768,0.362034,0.984221,-0.964162,-0.386226,0.138038,3,0,1
81.6966,0.353241,0.312003,0.481206,0.368314,0.67126,0.442768,0.142832,0.979967,-0.977928,-0.367083,-0.109421,3,0,1
81.9674,0.350817,0.313941,0.480812,0.368233,0.671027,0.443328,0.0915081,0.984169,-0.978362,-0.357211,-0.0460304,3,0,1
82.2289,0.349366,0.312115,0.474363,0.367217,0.672494,0.428653,-0.460891,0.996495,-0.997536,-0.905921,0.647958,3,0,1
82.5239,0.347905,0.310277,0.467868,0.362615,0.672031,0.42787,-0.642343,0.990316,-0.99857,-0.951863,0.461729,3,0,1
82.8197,0.347968,0.305481,0.477877,0.355405,0.667045,0.434195,0.169796,0.987633,-0.9949,-0.820773,0.158067,3,0,1
83.1506,0.348503,0.306334,0.500086,0.345349,0.662409,0.433277,0.705824,0.800248,-0.926897,-0.393437,-0.239293,3,0,1
83.4178,0.348186,0.303607,0.493675,0.340325,0.660194,0.425846,0.792452,0.837061,-0.97919,-0.513892,-0.462532,3,0,1
83.7117,0.349471,0.302588,0.494181,0.337853,0.662013,0.439365,0.759198,0.754127,-0.935375,-0.0827532,-0.59187,3,0,1
84.0105,0.347515,0.304993,0.485864,0.341992,0.666516,0.45421,0.595098,0.892597,-0.895548,-0.0643594,-0.70225,3,0,1
84.2375,0.345539,0.30742,0.477481,0.343366,0.672411,0.44594,0.485968,0.856039,-0.97646,-0.556484,-0.523683,3,0,1
84.4692,0.34224,0.310907,0.468501,0.342977,0.677329,0.431463,0.0235616,0.937574,-0.99812,-0.957852,0.289436,3,0,1
84.7655,0.33938,0.312337,0.476162,0.349209,0.67829,0.439652,0.0407695,0.9906,-0.994889,-0.864665,0.340994,3,0,1
85.0663,0.339965,0.31274,0.468814,0.342989,0.676962,0.44556,0.0797314,0.915549,-0.993393,-0.880721,-0.33209,3,0,1
85.3606,0.340497,0.308438,0.470804,0.338827,0.677887,0.452189,0.253513,0.81551,-0.975649,-0.713719,-0.6276,3,0,1
85.6598,0.337283,0.307121,0.471821,0.335957,0.677914,0.458766,0.177434,0.932808,-0.95322,-0.601301,-0.725614,3,0,1
85.959,0.333712,0.309983,0.47159,0.338033,0.680405,0.458929,0.0501269,0.969926,-0.95972,-0.668082,-0.534433,3,0,1
86.253,0.329376,0.309583,0.472802,0.338922,0.684034,0.458571,-0.0752661,0.987096,-0.968759,-0.676664,-0.281218,3,0,1
86.4816,0.326163,0.312971,0.464492,0.338503,0.68202,0.465629,-0.463739,0.996756,-0.975491,-0.730143,-0.0463445,3,0,1
86.6811,0.324269,0.310616,0.46613,0.338897,0.683371,0.472807,-0.456476,0.997066,-0.962986,-0.512632,-0.0980317,3,0,1
86.9096,0.322049,0.307765,0.475911,0.33766,0.684921,0.458572,-0.20634,0.997777,-0.988311,-0.668835,0.329401,3,0,1
87.2102,0.321719,0.307266,0.483976,0.335657,0.682033,0.47211,0.199779,0.996993,-0.92047,-0.0679258,0.000676213,3,0,1
87.5075,0.322703,0.305756,0.492652,0.331431,0.677449,0.458085,0.598012,0.993799,-0.973797,-0.392471,-0.1461,3,0,1
87.8051,0.322585,0.308081,0.506155,0.332294,0.681732,0.443271,0.789981,0.98887,-0.982248,-0.752475,0.497963,3,0,1
88.1374,0.324432,0.310378,0.5045,0.329481,0.681098,0.464247,0.698291,0.928325,-0.913685,0.0780002,-0.406815,3,0,1
88.4008,0.325116,0.311404,0.488668,0.325041,0.686481,0.470334,0.267984,0.977484,-0.813838,-0.430014,-0.300965,3,0,1
88.6967,0.325811,0.312445,0.472609,0.321236,0.690095,0.455498,0.216351,0.88433,-0.988992,-0.918215,-0.104299,3,0,1
88.9926,0.325462,0.311922,0.480667,0.326597,0.687362,0.463878,0.196891,0.975651,-0.936254,-0.617319,-0.274909,3,0,1
89.3585,0.325462,0.311922,0.480667,0.32349,0.692107,0.469434,0.0604752,0.936189,-0.823355,-0.608914,-0.406121,3,0,1
89.7533,0.323032,0.313859,0.48025,0.317731,0.692529,0.468709,0.117332,0.910559,-0.899031,-0.784295,-0.276721,3,0,1
90.05,0.324224,0.315126,0.49457,0.322417,0.692508,0.482993,0.0727519,0.143314,-0.357257,-0.546413,-0.286123,3,0,1
90.378,0.324224,0.315126,0.49457,0.321053,0.694125,0.468892,0.376129,-0.407753,-0.593835,-0.684499,0.252432,3,0,1
90.6419,0.323261,0.316687,0.48601,0.317029,0.694965,0.475321,0.130572,-0.238807,-0.564054,-0.804959,-0.175498,3,0,1
90.9398,0.323599,0.31723,0.477998,0.314543,0.696689,0.475415,0.0360411,0.307488,-0.779825,-0.885695,-0.0924847,3,0,1
91.2692,0.323261,0.316687,0.48601,0.313965,0.692892,0.488644,0.0635293,-0.854122,-0.282747,-0.887201,-0.496443,3,0,1
91.5337,0.322925,0.316148,0.493965,0.309754,0.694186,0.481666,0.334794,-0.992519,-0.271146,-0.927716,-0.506908,3,0,1
91.8348,0.321494,0.319728,0.469508,0.30879,0.694563,0.495028,-0.309293,-0.352895,-0.48908,-0.975335,0.0996645,3,0,1
92.0946,0.321494,0.319728,0.469508,0.306445,0.696834,0.493914,-0.236422,-0.818124,-0.546601,-0.982649,0.0449085,3,0,1
92.4244,0.321826,0.320288,0.461376,0.309924,0.69764,0.507775,-0.662063,0.707426,-0.228684,-0.944346,0.0839688,3,0,1
92.6857,0.318799,0.318839,0.463214,0.312872,0.697185,0.514687,-0.833749,0.982556,-0.227643,-0.841898,0.316028,3,0,1
92.9844,0.320926,0.316337,0.471766,0.313538,0.69481,0.508348,-0.683517,0.916293,-0.141869,-0.83733,-0.13408,3,0,1
93.282,0.322052,0.315423,0.471554,0.310948,0.690844,0.501798,-0.535839,0.809811,-0.339465,-0.943294,-0.288306,3,0,1
93.478,0.323369,0.31439,0.472189,0.307764,0.689524,0.50123,-0.486352,0.245759,-0.34443,-0.96768,-0.561678,3,0,1
93.7079,0.323032,0.313859,0.48025,0.306529,0.690385,0.501169,-0.288853,-0.891723,-0.177859,-0.961905,-0.747117,3,0,1
93.9754,0.323032,0.313859,0.48025,0.3053,0.691238,0.501158,-0.279762,-0.941235,-0.164724,-0.968841,-0.751695,3,0,1
94.24,0.319289,0.316828,0.47921,0.307112,0.691929,0.507594,-0.599788,-0.588658,0.0178351,-0.947895,-0.370987,3,0,1
94.5367,0.319289,0.316828,0.47921,0.306467,0.694316,0.513919,-0.678397,-0.575438,0.223971,-0.886756,-0.440232,3,0,1
94.8324,0.319608,0.317372,0.471133,0.305881,0.692786,0.507531,-0.655401,0.207299,-0.0913018,-0.968212,-0.102927,3,0,1
95.1375,0.318482,0.318285,0.471341,0.307398,0.693943,0.500804,-0.462849,0.0905751,-0.389251,-0.979168,0.114023,3,0,1
95.4268,0.318482,0.318285,0.471341,0.311443,0.692122,0.508679,-0.758548,0.975206,-0.182065,-0.898404,0.131089,3,0,1
95.7216,0.318482,0.318285,0.471341,0.307112,0.691929,0.507594,-0.699141,0.757111,-0.107996,-0.965414,0.0972719,3,0,1
96.0303,0.319289,0.316828,0.47921,0.305093,0.689498,0.507505,-0.64889,-0.618479,0.0290742,-0.972457,-0.455056,3,0,1
96.3502,0.322052,0.315423,0.471554,0.301517,0.688359,0.494145,-0.19849,-0.735328,-0.764748,-0.989048,-0.579957,3,0,1
96.6801,0.320926,0.316337,0.471766,0.303276,0.688797,0.501069,-0.495749,-0.313294,-0.447581,-0.99072,-0.284101,3,0,1
96.9746,0.318482,0.318285,0.471341,0.303591,0.688359,0.514189,-0.867643,0.921594,0.21847,-0.965322,0.0802974,3,0,1
97.3721,0.318167,0.317735,0.47941,0.30211,0.689924,0.500557,-0.378342,-0.906261,-0.481269,-0.993693,-0.0798156,3,0,1
97.7673,0.318482,0.318285,0.471341,0.299111,0.690346,0.493611,-0.158023,-0.899344,-0.811533,-0.995165,-0.26976,3,0,1
