t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1,rot
11.1191,0.28408,0.300544,0.536418,0.291264,0.674547,0.459908,0.161262,-0.54875,-0.974784,-0.979534,1,3,0,1,1
11.4148,0.289863,0.29594,0.537087,0.287548,0.668928,0.474275,0.0315741,-0.675223,-0.96511,-0.960507,1,3,0,1,1
11.7087,0.29515,0.297783,0.548724,0.281048,0.665939,0.473902,0.0891758,-0.676651,-0.972913,-0.97089,1,3,0,1,1
12.0116,0.296132,0.29399,0.543809,0.276825,0.658688,0.481952,0.0363082,-0.709431,-0.967759,-0.969224,1,3,0,1,1
12.3127,0.303873,0.293834,0.556299,0.27224,0.656261,0.488632,0.0531737,-0.749737,-0.972051,-0.967867,1,3,0,1,1
12.6015,0.306005,0.292134,0.556118,0.267577,0.649842,0.482083,0.104518,-0.716681,-0.976126,-0.983958,1,3,0,1,1
12.9003,0.312141,0.290221,0.562671,0.265462,0.645445,0.489438,0.0963101,-0.760792,-0.97636,-0.982631,1,3,0,1,1
13.331,0.316767,0.286538,0.563423,0.259592,0.639818,0.483163,0.147757,-0.74878,-0.980348,-0.991928,1,3,0,1,1
13.5564,0.326906,0.284994,0.568489,0.2583,0.638792,0.490349,0.140031,-0.800513,-0.980363,-0.990898,1,3,0,1,1
13.8599,0.329392,0.28594,0.574168,0.257465,0.633299,0.498389,0.130968,-0.84363,-0.979577,-0.98876,1,3,0,1,1
14.1545,0.338051,0.282622,0.573488,0.255944,0.626338,0.499637,0.136482,-0.868177,-0.979614,-0.991745,1,3,0,1,1
14.4843,0.346422,0.28173,0.585525,0.256392,0.621871,0.500556,0.162658,-0.899997,-0.982629,-0.991942,1,3,0,1,1
14.7476,0.354088,0.282047,0.590132,0.257539,0.618944,0.508253,0.158431,-0.923264,-0.981751,-0.987741,1,3,0,1,1
15.0469,0.363977,0.280567,0.595073,0.256768,0.615632,0.508544,0.160264,-0.934889,-0.982423,-0.989,1,3,0,1,1
15.3456,0.373162,0.280428,0.592497,0.258439,0.610053,0.510138,0.149878,-0.941921,-0.981118,-0.98892,1,3,0,1,1
15.6735,0.38056,0.278136,0.591598,0.25703,0.604852,0.504516,0.135934,-0.942461,-0.981507,-0.99353,1,3,0,1,1
15.9362,0.389956,0.28065,0.594725,0.258127,0.602297,0.51146,0.131772,-0.953133,-0.979837,-0.9895,1,3,0,1,1
16.2038,0.396302,0.279204,0.593826,0.259264,0.599464,0.519094,0.122541,-0.959417,-0.976401,-0.983216,1,3,0,1,1
16.4966,0.406764,0.278125,0.591764,0.259804,0.596731,0.513092,0.114944,-0.960855,-0.976124,-0.988139,1,3,0,1,1
16.7943,0.416065,0.278017,0.589518,0.257117,0.590936,0.514016,0.10009,-0.964952,-0.973834,-0.988768,1,3,0,1,1
17.095,0.426588,0.276953,0.587576,0.257656,0.588165,0.507995,0.0796372,-0.965478,-0.973631,-0.99177,1,3,0,1,1
17.3891,0.435949,0.276859,0.585487,0.258124,0.583716,0.509067,0.0811301,-0.968806,-0.970682,-0.990316,1,3,0,1,1
17.6852,0.444268,0.277626,0.583379,0.25935,0.582592,0.509689,0.0913058,-0.970529,-0.968266,-0.988189,1,3,0,1,1
17.9829,0.456706,0.277292,0.567413,0.259821,0.578148,0.510774,0.0928715,-0.97029,-0.958724,-0.984877,1,3,0,1,1
18.2833,0.461915,0.279561,0.572305,0.260293,0.573708,0.511876,0.105101,-0.973867,-0.95774,-0.982105,1,3,0,1,1
18.5455,0.470452,0.277623,0.564622,0.262021,0.570032,0.505758,0.0724002,-0.973032,-0.953398,-0.986686,1,3,0,1,1
18.8372,0.480988,0.280614,0.561772,0.26432,0.566483,0.513394,0.116027,-0.978089,-0.930266,-0.964027,1,3,0,1,1
19.0385,0.484152,0.28047,0.547483,0.264208,0.560016,0.508658,0.0844571,-0.975262,-0.919606,-0.973681,1,3,0,1,1
19.3369,0.49501,0.280736,0.538832,0.264208,0.560016,0.508658,0.0814666,-0.977749,-0.873039,-0.958939,1,3,0,1,1
19.6329,0.497889,0.283645,0.551038,0.265956,0.556282,0.50253,0.0238449,-0.97774,-0.908225,-0.977602,1,3,0,1,1
19.9294,0.503548,0.282945,0.529698,0.266438,0.551826,0.503711,0.00482964,-0.976516,-0.835372,-0.964581,1,3,0,1,1
20.229,0.508774,0.286621,0.527898,0.268274,0.547779,0.498296,-0.180606,-0.974675,-0.823605,-0.978166,1,3,0,1,1
20.5285,0.512268,0.285143,0.520889,0.268761,0.543316,0.499504,-0.183797,-0.975009,-0.758782,-0.969615,1,3,0,1,1
20.7876,0.513126,0.289783,0.512276,0.268701,0.536728,0.49486,-0.501206,-0.968892,-0.708803,-0.987084,1,3,0,1,1
21.0846,0.519839,0.289727,0.504184,0.270356,0.53141,0.495943,-0.57708,-0.967952,-0.539146,-0.97932,1,3,0,1,1
21.382,0.521055,0.29015,0.496753,0.268525,0.525415,0.476471,-0.983293,-0.939441,-0.386966,-0.999078,0.999999,3,0,1,1
21.6839,0.523105,0.292526,0.495806,0.268998,0.514177,0.473108,-0.991173,-0.940749,-0.352089,-0.999354,0.999999,3,0,1,1
21.9787,0.529577,0.295375,0.49425,0.267468,0.500621,0.469978,-0.995061,-0.954912,-0.24104,-0.999455,0.999997,3,0,1,1
22.2725,0.534911,0.299188,0.492807,0.270222,0.484708,0.482581,-0.983723,-0.944364,0.0476037,-0.997964,0.999998,3,0,1,1
22.5693,0.539412,0.301109,0.484481,0.269531,0.473055,0.487509,-0.9779,-0.935886,0.294177,-0.996408,0.999998,3,0,1,1
22.8665,0.5486,0.304991,0.468119,0.271357,0.463541,0.468368,-0.998173,-0.966855,0.311882,-0.998917,0.999986,3,0,1,1
23.1654,0.559445,0.306953,0.473934,0.274778,0.451445,0.479776,-0.996957,-0.910626,0.479259,-0.996805,0.999991,3,0,1,1
23.4283,0.56625,0.311383,0.465303,0.275545,0.441207,0.469438,-0.998325,-0.955341,0.403193,-0.997697,0.999971,3,0,1,1
23.7217,0.57557,0.318729,0.470478,0.276318,0.432137,0.450212,-0.998311,-0.988749,-0.128295,-0.998754,0.999889,3,0,1,1
24.0204,0.586611,0.322228,0.46928,0.280945,0.419239,0.461975,-0.997619,-0.954975,0.0936023,-0.994945,0.999826,3,0,1,1
24.3193,0.591382,0.324297,0.461288,0.282803,0.406855,0.45938,-0.99767,-0.953015,0.179597,-0.991687,0.999666,3,0,1,1
24.6164,0.597415,0.325405,0.453565,0.283529,0.395341,0.457036,-0.997083,-0.962787,0.236636,-0.987489,0.998525,3,0,1,1
24.9127,0.605741,0.329343,0.45991,0.28733,0.38536,0.453212,-0.99481,-0.922705,0.00942872,-0.975098,0.996912,3,0,1,1
25.2056,0.613241,0.335857,0.458907,0.291536,0.378039,0.455415,-0.986161,-0.854501,0.0872145,-0.897717,0.980078,3,0,1,1
25.5122,0.621449,0.339544,0.451035,0.295368,0.368016,0.451615,-0.972886,-0.95031,0.143949,-0.903942,0.846853,3,0,1,1
25.7708,0.628056,0.342648,0.451076,0.298193,0.360863,0.462124,-0.961667,-0.846418,0.301441,-0.919434,0.807851,3,0,1,1
26.068,0.634645,0.345724,0.450785,0.305084,0.352356,0.456756,-0.950788,-0.888529,0.223295,-0.882718,0.692465,3,0,1,1
26.3642,0.641227,0.348807,0.45057,0.310861,0.344705,0.451457,-0.956559,-0.944894,0.148905,-0.665854,0.403559,3,0,1,1
26.6635,0.645721,0.349313,0.450197,0.314762,0.3346,0.447673,-0.979467,-0.976918,-0.0929939,0.28464,0.0460525,3,0,1,1
26.9628,0.651408,0.348906,0.45057,0.318564,0.33156,0.448709,-0.976059,-0.979453,-0.154437,0.27095,-0.162073,3,0,1,1
27.2552,0.652601,0.34795,0.450934,0.315633,0.330832,0.441421,-0.983475,-0.987855,-0.284672,0.619252,-0.134393,3,0,1,1
27.5525,0.650517,0.345419,0.451121,0.315328,0.330219,0.449692,-0.980053,-0.979948,-0.128592,0.25799,-0.0342814,3,0,1,1
27.8504,0.649635,0.341875,0.451213,0.317176,0.327049,0.466479,-0.970664,-0.933091,0.136825,-0.678028,0.139475,3,0,1,1
28.1464,0.647546,0.339349,0.451439,0.313856,0.325004,0.476314,-0.973194,-0.802428,0.328688,-0.777331,0.536155,3,0,1,1
28.4455,0.649945,0.337379,0.451687,0.314988,0.324103,0.47618,-0.974072,-0.839402,0.313887,-0.822124,0.509322,3,0,1,1
28.747,0.654761,0.339814,0.458824,0.318561,0.321259,0.476519,-0.971541,-0.879673,0.0955774,-0.343261,0.0554602,3,0,1,1
29.0041,0.655951,0.338865,0.459178,0.319608,0.317372,0.471133,-0.977185,-0.952129,-0.0543064,-0.0213909,-0.210978,3,0,1,1
