t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1,rot
12.1588,0.298599,0.308777,0.465603,0.284853,0.723536,0.534374,-0.536153,-0.990796,-0.86757,-0.975702,0.781111,3,0,1,0
12.4581,0.299283,0.306878,0.481816,0.282855,0.721157,0.534225,0.0360464,-0.996484,-0.880588,-0.837848,0.800715,3,0,1,0
12.8513,0.299443,0.301703,0.50019,0.283124,0.716554,0.535001,-0.132087,-0.997407,-0.0478585,-0.848375,0.708191,3,0,1,0
13.1467,0.302078,0.300247,0.492558,0.283792,0.717981,0.541197,0.301635,-0.998022,-0.854764,-0.63324,0.442887,3,0,1,0
13.455,0.306071,0.300154,0.499224,0.284144,0.71367,0.541588,0.133293,-0.99667,-0.192766,-0.754113,0.227295,3,0,1,0
13.8525,0.306322,0.300614,0.491183,0.285932,0.713999,0.548201,0.297489,-0.997341,-0.841408,-0.51362,0.0869977,3,0,1,0
14.2531,0.306322,0.300614,0.491183,0.287912,0.716367,0.548334,0.386001,-0.997559,-0.905791,-0.363374,0.0762223,3,0,1,0
14.7343,0.305735,0.304835,0.488994,0.292864,0.718211,0.555153,0.178995,-0.997295,-0.918296,-0.21032,0.0155124,3,0,1,0
15.2927,0.300666,0.308192,0.496201,0.298371,0.717806,0.555948,-0.212219,-0.995332,-0.5065,0.131529,0.454223,3,0,1,0
15.5893,0.298254,0.310112,0.49578,0.301197,0.719975,0.5436,-0.294499,-0.992855,-0.373835,0.252923,0.667902,3,0,1,0
15.8885,0.29956,0.309081,0.496356,0.30231,0.718884,0.543994,-0.292324,-0.990532,-0.380617,0.368049,0.525347,3,0,1,0
16.1885,0.303076,0.306273,0.496619,0.302666,0.717529,0.524628,-0.385104,-0.989175,0.0366801,0.0632209,0.544792,3,0,1,0
16.4809,0.307315,0.306648,0.495281,0.305299,0.717644,0.518524,-0.432161,-0.986896,0.161798,-0.465981,0.206299,3,0,1,0
16.7454,0.308692,0.306247,0.487124,0.30116,0.715565,0.498198,-0.0978706,-0.996392,-0.450284,-0.971188,0.265446,3,0,1,0
17.0438,0.312677,0.306136,0.493841,0.299377,0.715236,0.491184,0.128479,-0.998637,-0.361904,-0.974328,0.383751,3,0,1,0
17.3383,0.311563,0.307026,0.493961,0.296724,0.715125,0.497481,-0.0293059,-0.998307,-0.205097,-0.975444,0.227735,3,0,1,0
17.6389,0.312124,0.308018,0.477839,0.2917,0.716994,0.503203,-0.289417,-0.997395,-0.549784,-0.990561,0.222579,3,0,1,0
17.9321,0.312408,0.308519,0.469691,0.289095,0.716874,0.50943,-0.400447,-0.9964,-0.737055,-0.994339,0.360478,3,0,1,0
18.2293,0.310268,0.305697,0.479567,0.28469,0.716432,0.508758,-0.178682,-0.997757,-0.67199,-0.995679,0.114528,3,0,1,0
18.5273,0.308156,0.302909,0.489411,0.28382,0.71289,0.509097,-0.0414925,-0.997761,-0.5043,-0.992044,-0.299477,3,0,1,0
18.8233,0.307895,0.302438,0.497449,0.283265,0.715192,0.515413,-0.0258279,-0.997612,-0.077794,-0.969386,0.205175,3,0,1,0
19.1218,0.305486,0.304355,0.497035,0.282041,0.716031,0.515376,0.0364707,-0.998121,-0.157289,-0.978791,0.554169,3,0,1,0
19.388,0.305986,0.305318,0.480894,0.284336,0.715724,0.535045,0.0755838,-0.996318,-0.861789,-0.811482,0.5237,3,0,1,0
19.6819,0.306239,0.305805,0.472736,0.286331,0.718107,0.535179,-0.16532,-0.993783,-0.89457,-0.88228,0.441873,3,0,1,0
19.976,0.308957,0.306737,0.47902,0.286131,0.716046,0.541712,0.167301,-0.99648,-0.909809,-0.63702,0.292363,3,0,1,0
20.2758,0.306574,0.301076,0.483084,0.285932,0.713999,0.548201,0.230957,-0.996781,-0.94591,-0.459929,-0.016197,3,0,1,0
20.5728,0.307895,0.302438,0.497449,0.289681,0.716685,0.554911,0.339693,-0.997502,-0.684368,-0.318346,0.349241,3,0,1,0
20.8721,0.305486,0.304355,0.497035,0.292322,0.717059,0.548696,0.000282475,-0.997136,-0.520619,-0.309017,0.433582,3,0,1,0
21.1718,0.304145,0.303009,0.482663,0.291105,0.717899,0.548568,0.111341,-0.996447,-0.959446,-0.281575,-0.0581249,3,0,1,0
21.4639,0.30327,0.304389,0.474685,0.295757,0.714046,0.549577,-0.292636,-0.984598,-0.96015,-0.216364,-0.39456,3,0,1,0
21.7266,0.304145,0.303009,0.482663,0.300318,0.716521,0.543799,-0.150015,-0.986627,-0.946934,0.137981,-0.592102,3,0,1,0
22.0275,0.299882,0.302639,0.48403,0.299798,0.715355,0.537241,-0.336783,-0.969254,-0.919561,0.106429,-0.411828,3,0,1,0
